,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr,Pop2010,OHU2010,NUMGQTRS,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lakidshalf,laseniorshalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lakids1,laseniors1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lakids10,laseniors10,lawhite10,lablack10,laasian10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,PCTGQTRS,PovertyRate,MedianFamilyIncome,Urban,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,LATracts_half,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lahunvhalfshare,lasnaphalfshare,lapop1share,lalowi1share,lakids1share,laseniors1share,lawhite1share,lablack1share,laasian1share,lanhopi1share,laaian1share,laomultir1share,lahisp1share,lahunv1share,lasnap1share,UMAP1,UMAP2,label,weights,bank_score,county_equivalent,TractLOWIShare,TractKidsShare,TractSeniorsShare,TractWhiteShare,TractBlackShare,TractAsianShare,TractNHOPIShare,TractAIANShare,TractOMultirShare,TractHispanicShare,TractHUNVShare,TractSNAPShare
0,21391.0,62975.0,1248586.0,3112.0,42929.0,33164.0,13798.0,428.0,727.0,727.0,0.0,298.0,298.0,0.0,30794.0,13236.0,6482.0,5812.0,19984.0,8864.0,164.0,36.0,124.0,1626.0,2574.0,1397.0,1854.0,27105.0,11970.0,5731.0,5089.0,17549.0,7832.0,147.0,30.0,116.0,1431.0,1926.5,1274.0,1681.0,727.0,298.0,135.0,156.0,714.0,4.0,3.0,0.0,6.0,2.0,45.0,23.0,14271.0,6925.0,6336.0,21662.0,9303.0,183.0,40.0,135.0,1841.0,2850.0,1352.0,1920.0,0.9222222222222224,17.811111111111114,54276.875,0.0,0.0,1.0,0.0,0.0,0.0,93.96,35.898888888888884,19.612222222222226,15.794444444444444,66.44222222222223,22.25222222222222,0.4366666666666667,0.09,0.3322222222222222,4.408888888888888,6.450468750000001,8.854444444444445,12.151111111111112,83.99555555555555,32.64111111111111,17.70444444444444,13.681111111111113,59.306666666666665,19.97777777777777,0.3933333333333333,0.07,0.3088888888888889,3.928888888888889,4.67,8.121111111111112,11.14,12.831673,2.83408,0,0.012048192771084338,4,0,0.43031600530695935,0.20881075865396212,0.191050536726571,0.6531781449764805,0.2805150162827162,0.005518031600530696,0.0012061271257990593,0.004070679049571825,0.0555120009649017,0.08593655771318297,0.09798521524858675,0.13915060153645456
1,29526.0,78415.0,2044282.7,857.0,18305.0,98970.0,38157.0,5010.5,11786.0,30767.0,11450.0,3490.0,8892.0,3379.0,79776.0,17393.0,17712.0,11204.0,66334.0,6614.0,1203.0,35.0,194.0,3575.0,3886.5,983.0,1272.0,56224.0,10960.0,13245.0,8423.0,48600.0,3929.0,543.0,21.0,124.0,1909.5,1926.5,391.0,763.0,336.0,111.0,60.0,62.0,281.0,41.0,2.0,0.0,12.0,17.0,2.0,9.0,21693.0,21285.0,14124.0,79738.0,9600.0,1448.0,50.5,252.0,4703.0,5330.0,1887.0,1844.0,10.50909090909091,14.68181818181818,98792.66666666669,0.0,0.0,0.0,0.0,0.0,0.0,80.62363636363636,19.180909090909093,16.819999999999997,11.156818181818185,66.63272727272728,6.759545454545455,2.3600000000000003,0.035,0.1963636363636363,3.680909090909091,4.082272727272727,5.490454545454546,3.2340909090909093,63.31850000000001,12.6085,14.6415,9.5645,54.43000000000001,4.593999999999999,1.264871794871795,0.0235,0.146,2.4975,2.781,1.136,2.2925,8.068408,-2.4451954,2,0.043478260869565216,4,0,0.21918763261594423,0.2150651712640194,0.14270991209457412,0.8056784884308377,0.09699909063352531,0.014630696170556734,0.0005102556330201071,0.0025462261291300395,0.04751945033848641,0.05385470344548853,0.04945357339413476,0.0483266504180098
2,4393.0,11912.0,312425.78,0.0,0.0,16250.0,6891.0,281.0,2664.0,3797.0,1914.0,1283.0,1855.0,1067.0,15315.0,5838.0,3255.0,3021.0,14323.0,679.0,33.0,11.0,29.0,238.0,167.0,419.0,848.0,13284.0,4864.0,2785.0,2666.0,12633.0,420.0,20.0,6.0,27.0,178.0,133.0,341.0,677.0,750.0,216.0,147.0,146.0,737.0,3.0,0.0,0.0,10.0,6.0,7.0,18.0,5780.0,3450.0,3305.0,15145.0,761.0,37.0,11.0,29.0,267.0,176.0,424.0,909.0,1.5533333333333337,18.433333333333334,63322.833333333336,0.0,0.0,1.0,0.0,0.0,0.0,95.99166666666667,34.41833333333333,20.26,18.801666666666662,90.66333333333334,3.61,0.18,0.0533333333333333,0.155,1.3283333333333334,0.9716666666666666,5.088333333333334,11.25,85.69,29.54166666666666,17.84,17.01166666666667,82.00999999999999,2.348333333333333,0.12,0.0316666666666666,0.1433333333333333,1.0316666666666667,0.8183333333333334,4.220000000000001,9.371666666666666,14.537996,2.017643,0,0.012048192771084338,3,0,0.3556923076923077,0.2123076923076923,0.20338461538461539,0.932,0.04683076923076923,0.002276923076923077,0.0006769230769230769,0.0017846153846153847,0.01643076923076923,0.01083076923076923,0.061529531272674506,0.13191118850674793
3,1762.0,5334.0,123632.0,0.0,0.0,12690.0,4821.0,128.0,2089.0,2089.0,0.0,781.0,781.0,0.0,12646.0,3970.0,2813.0,1994.0,9308.0,2913.0,27.0,4.0,56.0,338.0,289.0,163.0,512.0,12441.0,3910.0,2770.0,1968.0,9182.0,2837.0,27.0,4.0,56.0,335.0,287.0,163.0,503.0,2089.0,781.0,429.0,292.0,1438.0,265.0,5.0,10.0,47.5,40.0,15.0,86.0,4113.0,2822.0,1999.0,9332.0,2932.0,27.0,4.0,56.0,339.0,290.0,158.0,509.0,1.08,13.35,73719.5,0.0,0.0,0.0,1.0,1.0,0.0,99.675,31.14,22.055,15.785,73.235,23.065,0.215,0.035,0.44,2.68,2.295,3.305,10.585,98.145,30.69,21.73,15.59,72.275,22.515,0.215,0.035,0.438125,2.66,2.28,3.305,10.42,13.738507,4.6628723,0,0.012048192771084338,2,0,0.324113475177305,0.22237982663514577,0.15752561071710008,0.7353821907013396,0.2310480693459417,0.002127659574468085,0.00031520882584712374,0.004412923561859732,0.026713947990543736,0.022852639873916468,0.03277328355113047,0.1055797552375026
4,12190.0,28650.0,1307267.61,3187.5,30019.0,32353.0,12560.0,1538.0,3663.0,8785.0,2762.0,1251.0,3297.0,953.0,29275.0,9348.0,6294.0,4692.0,22595.0,5454.0,123.0,6.0,269.0,828.0,571.0,497.0,1009.0,22872.0,6895.0,4944.0,3532.0,17710.0,4219.0,88.0,2.0,212.0,640.0,463.0,309.0,735.0,901.0,298.0,194.0,179.0,788.0,87.0,0.0,1.0,25.0,40.0,11.0,17.0,10185.0,6940.0,5330.0,24829.0,6148.0,154.0,7.0,298.0,917.0,625.0,652.0,1128.0,7.489999999999999,13.266666666666666,59702.55555555556,0.0,0.0,1.0,0.0,1.0,0.0,90.25111111111111,30.99111111111112,18.92,14.357777777777777,68.89333333333335,17.474444444444444,0.3966666666666667,0.0522222222222222,0.48125,2.5877777777777777,1.6877777777777778,3.873333333333333,10.06222222222222,62.37222222222223,19.380000000000003,13.85222222222222,9.536666666666664,47.64444444444444,12.0,0.2433333333333333,0.0133333333333333,0.438125,1.845555555555556,1.2122222222222223,2.373333333333333,6.264444444444444,13.374582,2.6229818,0,0.012048192771084338,4,0,0.31480851852996633,0.2145087008932711,0.16474515500880907,0.7674404228355949,0.1900287454022811,0.004759991345470281,0.00021636324297592187,0.009210892343832102,0.028343584829845763,0.019318146694278737,0.05191082802547771,0.08980891719745222
5,12321.0,19488.0,320617.02,0.0,4854.0,14973.0,6033.0,56.0,1108.0,1108.0,0.0,306.0,306.0,0.0,14708.0,4609.0,3264.0,2556.0,11387.0,2963.0,34.0,4.0,32.0,289.0,165.0,306.0,885.0,13915.0,4311.0,3115.0,2371.0,10757.0,2814.0,33.0,4.0,30.0,277.0,157.0,277.0,809.0,1108.0,306.0,210.0,240.0,904.0,174.0,7.5,5.0,17.0,14.0,36.0,61.0,4805.0,3325.0,2607.0,11597.0,3007.0,35.0,4.0,32.0,298.0,167.0,305.0,914.0,0.29,13.133333333333333,67325.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,98.63333333333333,30.55,21.78,17.096666666666668,76.05333333333333,20.136666666666667,0.2233333333333333,0.03,0.2133333333333333,1.9733333333333327,1.1266666666666667,4.666666666666667,13.79,94.53000000000002,29.01,21.01333333333333,16.14,72.79666666666667,19.366666666666667,0.2199999999999999,0.03,0.2033333333333333,1.913333333333333,1.086666666666667,4.303333333333334,12.846666666666666,14.397018,3.9510496,0,0.012048192771084338,3,0,0.32091097308488614,0.22206638616175783,0.17411340412742937,0.7745274828023776,0.20082815734989648,0.0023375409069658717,0.0002671475322246711,0.0021371802577973688,0.019902491150737996,0.011153409470380017,0.05055527929719874,0.15150008287750705
6,0.0,0.0,429528.4738524656,0.0,20808.0,116003.0,48391.0,2892.0,4799.0,45586.5,4799.0,163.0,8119.0,163.0,60765.0,8119.0,12412.0,6598.0,46006.0,5343.0,1203.0,48.0,199.0,3582.0,3886.5,1852.0,770.0,4799.0,163.0,1185.0,763.0,4259.0,179.0,166.0,6.0,13.0,176.0,238.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34479.0,24760.0,17127.0,91559.5,17632.0,1448.0,50.5,428.0,4749.0,5330.0,2520.5,3464.0,2.363220338983051,6.798305084745763,121406.625,1.0,0.0,0.0,0.0,0.0,0.0,54.02496031746027,5.624,8.136874999999996,4.069999999999999,30.43711111111111,3.62,2.3600000000000003,0.0282222222222222,0.1342222222222222,3.104444444444445,4.813555555555556,2.9199999999999995,1.304,12.68,0.4371428571428571,3.14,2.0357142857142856,11.284285714285712,0.4485714285714285,0.4471428571428572,0.0185714285714285,0.0328571428571428,0.4499999999999999,0.6385714285714286,0.03,0.08,7.169068,0.010993716,1,0.043478260869565216,1,0,0.2972250717653854,0.21344275579079852,0.14764273337758507,0.789285621923571,0.1519960690671793,0.012482435799074161,0.00043533356895942345,0.0036895597527650146,0.04093859641560994,0.04594708757532133,0.052086131718708024,0.07158355892624661
7,29526.0,88856.5,2044282.7,1568.0,29093.0,73750.0,28516.0,2708.0,21638.0,26321.0,19909.0,5535.0,6770.0,4955.0,68815.0,18706.0,14664.0,11061.0,64278.0,2731.0,319.0,15.0,153.0,1316.0,1384.0,1129.0,1963.0,58956.0,16090.0,12540.0,9388.0,54900.5,2304.0,237.0,11.0,126.0,1074.0,1020.0,917.0,1623.0,1729.0,580.0,364.0,298.0,1684.0,23.0,3.0,2.0,17.0,12.0,45.0,64.0,19052.0,15755.0,11839.0,68848.0,2930.0,368.0,15.0,160.0,1429.0,1525.0,1235.0,2188.0,3.931538461538462,9.923076923076923,71137.30769230769,0.0,0.0,0.0,0.0,0.0,0.0,93.71769230769232,25.65230769230769,19.94769230769231,14.809230769230773,87.35692307692307,3.956923076923077,0.4115384615384615,0.02,0.2053846153846154,1.767692307692308,1.865384615384616,3.8200000000000007,7.201538461538461,81.53153846153845,22.320769230769223,17.328461538461536,12.75076923076923,76.10615384615386,3.452307692307692,0.3161538461538462,0.0138461538461538,0.173076923076923,1.47,1.426923076923077,3.1046153846153848,6.027692307692307,12.463139,1.5369141,0,0.012048192771084338,4,0,0.2583322033898305,0.2136271186440678,0.16052881355932203,0.9335322033898306,0.039728813559322035,0.0049898305084745765,0.00020338983050847457,0.002169491525423729,0.01937627118644068,0.020677966101694915,0.043309019497825785,0.07672885397671483
8,2824.0,5662.0,184092.78,0.0,0.0,4731.0,2162.0,53.0,1005.0,1005.0,0.0,496.0,496.0,0.0,4516.0,1947.0,767.0,999.0,4225.0,215.0,7.0,0.0,5.0,64.0,101.0,54.0,194.0,4437.0,1904.0,755.0,975.0,4148.0,213.0,6.0,0.0,5.0,64.0,100.0,54.0,190.0,1005.0,496.0,168.0,221.0,980.0,7.0,2.0,0.0,16.0,15.0,8.0,42.0,1901.0,804.0,1052.0,4432.0,222.0,7.0,0.0,5.0,65.0,101.0,55.0,188.0,1.12,11.3,56716.0,0.0,1.0,1.0,1.0,1.0,0.0,95.46,41.15,16.2,21.12,89.3,4.55,0.15,0.0,0.11,1.35,2.13,2.52,8.97,93.78,40.25,15.96,20.6,87.68,4.51,0.14,0.0,0.11,1.35,2.1,2.52,8.79,14.954482,2.1169074,0,0.012048192771084338,4,0,0.4018177975058127,0.1699429296131896,0.22236313675755653,0.9367998309025576,0.046924540266328474,0.0014796026210103573,0.0,0.001056859015007398,0.013739167195096174,0.02134855210314944,0.02543940795559667,0.08695652173913043
9,18860.0,56002.0,1217040.34,1007.0,13435.0,74898.0,30092.0,287.0,6554.0,13114.0,4955.0,1104.0,2887.0,787.0,70101.0,16439.0,15478.0,11700.0,63727.0,4411.0,661.0,14.0,183.0,1106.0,1083.0,847.0,1870.0,61467.0,14305.0,13621.0,10033.0,54900.5,3397.0,538.0,13.0,172.0,928.0,895.0,557.0,1548.0,1599.0,317.0,359.0,268.0,1440.0,135.0,4.0,6.0,14.0,9.0,17.0,41.0,18354.0,16583.0,12484.0,67530.0,5198.0,748.0,15.0,194.0,1213.0,1224.0,1068.0,2114.0,0.400625,8.935294117647059,71582.58823529411,0.0,0.0,1.0,0.0,0.0,0.0,94.8570588235294,23.29823529411765,19.97647058823529,16.769411764705882,87.19823529411765,5.183529411764705,0.7476470588235294,0.0235294117647058,0.2558823529411765,1.447058823529412,1.406470588235294,2.437058823529412,6.061176470588235,85.31647058823529,21.03,17.96058823529412,14.895294117647056,79.0535294117647,4.117058823529412,0.6170588235294117,0.0229411764705882,0.2429411764705882,1.261764705882353,1.198235294117647,1.7476470588235296,5.277058823529412,12.594285,1.5781752,0,0.012048192771084338,3,0,0.2450532724505327,0.22140778124916552,0.16668001815802824,0.9016262116478411,0.06940105209751929,0.009986915538465646,0.00020027237042377632,0.002590189324147507,0.016195359021602712,0.016342225426580148,0.035491160441313306,0.07025122956267446
